Feature,Importance
resume_experience python,0.038216136
resume_deep,0.034837857
resume_analysis,0.03451911
job_learning nlp,0.034304
job_data scientist,0.033659145
resume_boot,0.033060864
job_analysis,0.0324973
job_boot,0.029161073
job_ai,0.02908826
resume_experience react,0.028127957
Education_Bachelor's,0.0265911
job_analyst,0.025834033
job_aws,0.025207998
Location_London,0.02185621
Salary_Expectation,0.02171696
Industry_Education,0.021247884
resume_assessment,0.021183517
job_learning,0.020054504
Salary_Difference,0.019887922
Work_Type_Remote,0.018965177
